Category,Test Name,Test Description,Units,Gender,Min Reference Range,Max Reference Range,Age Min,Min Age Unit,Age Max,Max Age Unit,Remarks
HAEMATOLOGY,COMPLETE HAEMOGRAM,ESR,mm/hr,M,0,12,0,YEARS,100,YEARS,
HAEMATOLOGY,COMPLETE HAEMOGRAM,ESR,mm/hr,F,0,20,0,YEARS,100,YEARS,
HAEMATOLOGY,COMPLETE HAEMOGRAM,TOTAL W.B.C,cells/cumm,M/F,4000,11000,0,YEARS,100,YEARS,
HAEMATOLOGY,COMPLETE HAEMOGRAM,NEUTROPHILS,%,M/F,40,70,0,YEARS,100,YEARS,
HAEMATOLOGY,COMPLETE HAEMOGRAM,LYMPHOCYTES,%,M/F,20,40,0,YEARS,100,YEARS,
HAEMATOLOGY,COMPLETE HAEMOGRAM,EOSINOPHILS,%,M/F,0,8,0,YEARS,100,YEARS,
HAEMATOLOGY,COMPLETE HAEMOGRAM,MONOCYTES,%,M/F,0,10,0,YEARS,100,YEARS,
HAEMATOLOGY,COMPLETE HAEMOGRAM,BASOPHILS,%,M/F,0,1,0,YEARS,100,YEARS,
HAEMATOLOGY,COMPLETE HAEMOGRAM,R.B.C,mill/cumm,M/F,3.5,5.5,0,YEARS,100,YEARS,
HAEMATOLOGY,COMPLETE HAEMOGRAM,PLATELET COUNT,Lakhs/cumm,M/F,1.5,4.5,0,YEARS,100,YEARS,
HAEMATOLOGY,COMPLETE HAEMOGRAM,P.C.V,%,M/F,36,48,0,YEARS,100,YEARS,
HAEMATOLOGY,COMPLETE HAEMOGRAM,M.C.V,fl,M/F,80,99,0,YEARS,100,YEARS,
HAEMATOLOGY,COMPLETE HAEMOGRAM,M.C.H,pg,M/F,26,32,0,YEARS,100,YEARS,
HAEMATOLOGY,COMPLETE HAEMOGRAM,M.C.H.C,%,M/F,32,36,0,YEARS,100,YEARS,
HAEMATOLOGY,CROSS MATCH WHOLE BLOOD/PACKED,DROPDOWN-COMPATIBLE/INCOMPATIBLE,N/A,M/F,,,0,YEARS,100,YEARS,
HAEMATOLOGY,CT,CLOTTING TIME,N/A,M/F,4,7,0,YEARS,100,YEARS,
HAEMATOLOGY,DC,NEUTROPHILS,%,M/F,40,70,0,YEARS,100,YEARS,
HAEMATOLOGY,DC,LYMPHOCYTES,%,M/F,20,40,0,YEARS,100,YEARS,
HAEMATOLOGY,DC,EOSINOPHILS,%,M/F,0,8,0,YEARS,100,YEARS,
HAEMATOLOGY,DC,MONOCYTES,%,M/F,0,10,0,YEARS,100,YEARS,
HAEMATOLOGY,DC,BASOPHILS,%,M/F,0,1,0,YEARS,100,YEARS,
HAEMATOLOGY,DENGUE IGG & IGM,DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,
HAEMATOLOGY,"DENGUE PROFILE (IgG, IgM & Ns1Ag)",DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,
HAEMATOLOGY,ESR,ESR,mm/hr,M,0,9,0,YEARS,100,YEARS,
HAEMATOLOGY,ESR,ESR,mm/hr,F,0,20,0,YEARS,100,YEARS,
HAEMATOLOGY,HAEMOGLOBIN (Hb),HAEMOGLOBIN,gm/dl,M,13.5,18,0,YEARS,100,YEARS,
HAEMATOLOGY,HAEMOGLOBIN (Hb),HAEMOGLOBIN,gm/dl,F,12,16,0,YEARS,100,YEARS,
HAEMATOLOGY,"HB,TC,DC,ESR",HAEMOGLOBIN,gm/dl,M,13.5,18,0,YEARS,100,YEARS,
HAEMATOLOGY,"HB,TC,DC,ESR",HAEMOGLOBIN,gm/dl,F,12,16,0,YEARS,100,YEARS,
HAEMATOLOGY,"HB,TC,DC,ESR",ESR,mm/hr,M,0,12,0,YEARS,100,YEARS,
HAEMATOLOGY,"HB,TC,DC,ESR",ESR,mm/hr,F,0,20,0,YEARS,100,YEARS,
HAEMATOLOGY,"HB,TC,DC,ESR",TOTAL W.B.C,cells/cumm,M/F,4000,11000,0,YEARS,100,YEARS,
HAEMATOLOGY,"HB,TC,DC,ESR",NEUTROPHILS,%,M/F,40,70,0,YEARS,100,YEARS,
HAEMATOLOGY,"HB,TC,DC,ESR",LYMPHOCYTES,%,M/F,20,40,0,YEARS,100,YEARS,
HAEMATOLOGY,"HB,TC,DC,ESR",EOSINOPHILS,%,M/F,0,8,0,YEARS,100,YEARS,
HAEMATOLOGY,"HB,TC,DC,ESR",MONOCYTES,%,M/F,0,10,0,YEARS,100,YEARS,
HAEMATOLOGY,"HB,TC,DC,ESR",BASOPHILS,%,M/F,0,1,0,YEARS,100,YEARS,
HAEMATOLOGY,HBEAG,DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,
HAEMATOLOGY,ICT / DCT,DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,
HAEMATOLOGY,LE CELL,DROPDOWN-PRESENT/ABSENT,N/A,M/F,,,0,YEARS,100,YEARS,
HAEMATOLOGY,LEPTO IgG & IgM,DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,
HAEMATOLOGY,LEPTOSPIROSIS IgM,DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,
HAEMATOLOGY,MALARIAL PARASITE (CARD TEST),DROPDOWN-PRESENT/ABSENT,N/A,M/F,,,0,YEARS,100,YEARS,
HAEMATOLOGY,MALARIAL PARASITES SMEAR,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
HAEMATOLOGY,MANTOUX (PPD),DROPDOWN-REACTIVE/NONREACTIVE,N/A,M/F,,,0,YEARS,100,YEARS,
HAEMATOLOGY,MCH,M.C.H,pg,M/F,26,34,18,YEARS,100,YEARS,
HAEMATOLOGY,MCH,M.C.H,pg,M/F,33,39,0,MONTHS,1,MONTHS,
HAEMATOLOGY,MCH,M.C.H,pg,M/F,24,30,1,YEARS,2,YEARS,
HAEMATOLOGY,MCH,M.C.H,pg,M/F,25,31,2,YEARS,10,YEARS,
HAEMATOLOGY,MCH,M.C.H,pg,M/F,26,32,10,YEARS,17,YEARS,
HAEMATOLOGY,MCHC,M.C.H.C,%,M/F,31,38,0,YEARS,100,YEARS,
HAEMATOLOGY,MCV,M.C.V,fl,M/F,100,120,0,MONTHS,1,MONTHS,
HAEMATOLOGY,MCV,M.C.V,fl,M/F,90,100,1,MONTHS,1,YEARS,
HAEMATOLOGY,MCV,M.C.V,fl,M/F,72,88,1,YEARS,2,YEARS,
HAEMATOLOGY,MCV,M.C.V,fl,M/F,76,90,2,YEARS,10,YEARS,
HAEMATOLOGY,MCV,M.C.V,fl,M/F,78,95,10,YEARS,17,YEARS,
HAEMATOLOGY,MCV,M.C.V,fl,M/F,80,98,18,YEARS,100,YEARS,
HAEMATOLOGY,MICROFILARIAE (QBC),DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,
HAEMATOLOGY,MP (QBC),DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,
HAEMATOLOGY,PACKED CELL VOLUME (PCV),PACKED CELL VOLUME (PCV),%,M,36,47,10,YEARS,17,YEARS,
HAEMATOLOGY,PACKED CELL VOLUME (PCV),PACKED CELL VOLUME (PCV),%,F,35,45,10,YEARS,17,YEARS,
HAEMATOLOGY,PACKED CELL VOLUME (PCV),PACKED CELL VOLUME (PCV),%,M/F,37,47,18,YEARS,100,YEARS,
HAEMATOLOGY,PACKED CELL VOLUME (PCV),PACKED CELL VOLUME (PCV),%,M/F,44,68,0,MONTHS,1,MONTHS,
HAEMATOLOGY,PACKED CELL VOLUME (PCV),PACKED CELL VOLUME (PCV),%,M/F,44,55,1,MONTHS,1,YEARS,
HAEMATOLOGY,PACKED CELL VOLUME (PCV),PACKED CELL VOLUME (PCV),%,M/F,32,42,1,YEARS,2,YEARS,
HAEMATOLOGY,PACKED CELL VOLUME (PCV),PACKED CELL VOLUME (PCV),%,M/F,33,45,2,YEARS,10,YEARS,
HAEMATOLOGY,PERIPHERAL SMEAR,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
HAEMATOLOGY,PLASMA FIBRIDOGEN LEVEL,PLASMA FIBRIDOGEN LEVEL,ng/dl,M/F,200,400,0,YEARS,100,YEARS,
HAEMATOLOGY,PLATELET COUNT,PLATELET COUNT,Lakhs/cumm,M/F,1.5,4.5,0,YEARS,100,YEARS,
HAEMATOLOGY,PT,TEST,Seconds,M/F,11,17,0,YEARS,100,YEARS,
HAEMATOLOGY,RBC COUNT,R.B.C COUNT,mill/cumm,M,4.5,6.2,0,YEARS,100,YEARS,
HAEMATOLOGY,RBC COUNT,R.B.C COUNT,mill/cumm,F,4,5.5,0,YEARS,100,YEARS,
HAEMATOLOGY,RETICULOCYTE COUNT,RETICULOCYTES,cells/cumm,M/F,2,6,0,MONTHS,1,MONTHS,
HAEMATOLOGY,RETICULOCYTE COUNT,RETICULOCYTES,cells/cumm,M/F,0.3,1,1,MONTHS,6,MONTHS,
HAEMATOLOGY,RETICULOCYTE COUNT,RETICULOCYTES,cells/cumm,M/F,0.2,1,6,MONTHS,100,YEARS,
HAEMATOLOGY,SMEAR FOR MICROFILARIAE,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
HAEMATOLOGY,"TC, DC",TOTAL COUNT,cells/cumm,M/F,4000,11000,0,YEARS,100,YEARS,
HAEMATOLOGY,"TC, DC",NEUTROPHILS,%,M/F,40,70,0,YEARS,100,YEARS,
HAEMATOLOGY,"TC, DC",LYMPHOCYTES,%,M/F,20,40,0,YEARS,100,YEARS,
HAEMATOLOGY,"TC, DC",EOSINOPHILS,%,M/F,0,8,0,YEARS,100,YEARS,
HAEMATOLOGY,"TC, DC",MONOCYTES,%,M/F,0,10,0,YEARS,100,YEARS,
HAEMATOLOGY,"TC, DC",BASOPHILS,%,M/F,0,1,0,YEARS,100,YEARS,
HAEMATOLOGY,TOTAL LEUCOCYTE COUNT (TLC),LEUCOCYTE COUNT,cells/cum,M/F,4000,11000,0,YEARS,100,YEARS,
HAEMATOLOGY,FERRITIN,SERUM FERRITIN,ng/ml,M/F,10,29,0,YEARS,100,YEARS,
BIOCHEMISTRY,17- HYDROXY PROGESTERONE,HYDROXY PROGESTERONE,ng/dL,M,27,199,0,YEARS,100,YEARS,
BIOCHEMISTRY,17- HYDROXY PROGESTERONE,FOLLICULAR,ng/dL,F,15,70,0,YEARS,100,YEARS,
BIOCHEMISTRY,17- HYDROXY PROGESTERONE,LUTEAL,ng/dL,F,35,290,0,YEARS,100,YEARS,
BIOCHEMISTRY,17-HYDROXY CORTICOSTEROIDS IN URINE,DROPDOWN-PRESENT/ABSENT,N/A,M/F,,,0,YEARS,100,YEARS,
BIOCHEMISTRY,17-KETOGENIC STEROIDS (URINE),DROPDOWN-PRESENT/ABSENT,N/A,M/F,,,0,YEARS,100,YEARS,
BIOCHEMISTRY,24 HOURS URINARY CALCIUM,24 HOURS URINARY CALCIUM,mg/day,M/F,100,300,0,YEARS,100,YEARS,
BIOCHEMISTRY,A/G RATIO,A/G RATIO,N/A,M/F,1,1.5,0,YEARS,100,YEARS,
BIOCHEMISTRY,ADENOSINE DEAMINASSE (ADA)SERUM,ADA,U/L,M/F,0,40,0,YEARS,100,YEARS,
BIOCHEMISTRY,ALBUMIN,SERUM ALBUMIN,g/dl,M/F,3.5,5.2,0,YEARS,100,YEARS,
BIOCHEMISTRY,ALKALINE PHOSPHATASE (ALP),ALKALINE PHOSPHATASE,IU/L,M,0,390,13,YEARS,17,YEARS,
BIOCHEMISTRY,ALKALINE PHOSPHATASE (ALP),ALKALINE PHOSPHATASE,IU/L,F,0,187,13,YEARS,17,YEARS,
BIOCHEMISTRY,ALKALINE PHOSPHATASE (ALP),ALKALINE PHOSPHATASE,IU/L,M/F,25,147,18,YEARS,100,YEARS,
BIOCHEMISTRY,ALKALINE PHOSPHATASE (ALP),ALKALINE PHOSPHATASE,IU/L,M/F,0,250,0,MONTHS,1,MONTHS,
BIOCHEMISTRY,ALKALINE PHOSPHATASE (ALP),ALKALINE PHOSPHATASE,IU/L,M/F,0,449,1,MONTHS,6,MONTHS,
BIOCHEMISTRY,ALKALINE PHOSPHATASE (ALP),ALKALINE PHOSPHATASE,IU/L,M/F,0,462,6,MONTHS,1,YEARS,
BIOCHEMISTRY,ALKALINE PHOSPHATASE (ALP),ALKALINE PHOSPHATASE,IU/L,M/F,0,281,1,YEARS,3,YEARS,
BIOCHEMISTRY,ALKALINE PHOSPHATASE (ALP),ALKALINE PHOSPHATASE,IU/L,M/F,0,269,4,YEARS,6,YEARS,
BIOCHEMISTRY,ALKALINE PHOSPHATASE (ALP),ALKALINE PHOSPHATASE,IU/L,M/F,0,300,6,YEARS,13,YEARS,
BIOCHEMISTRY,AMMONIA,AMMONIA,µmol/L,M/F,21,86,1,DAYS,1,MONTHS,
BIOCHEMISTRY,AMMONIA,AMMONIA,µmol/L,M/F,16,47,1,MONTHS,1,YEARS,
BIOCHEMISTRY,AMMONIA,AMMONIA,µmol/L,M/F,11,35,1,YEARS,100,YEARS,
BIOCHEMISTRY,ANTISTREPTOLYSIN O,ANTISTREPTOLYSIN O,IU/mL,M/F,0,200,0,YEARS,100,YEARS,
BIOCHEMISTRY,BICARBONATE,BICARBONATE,mmol/L,M/F,21,29,0,YEARS,100,YEARS,
BIOCHEMISTRY,BLOOD ALCOHOL LEVEL,BLOOD ALCOHOL LEVEL,mg/dL,M/F,0,10,0,YEARS,100,YEARS,
BIOCHEMISTRY,BLOOD SUGAR (FBS/PPBS),FASTING BLOOD SUGAR,mg/dl,M/F,70,110,0,YEARS,100,YEARS,
BIOCHEMISTRY,BLOOD SUGAR (FBS/PPBS),POST PRANDIAL BLOOD SUGAR,mg/dl,M/F,110,140,0,YEARS,100,YEARS,
BIOCHEMISTRY,BLOOD UREA,BLOOD UREA,mg/dL,M/F,10,50,0,YEARS,100,YEARS,
BIOCHEMISTRY,BUN,BLOOD UREA NITROGEN,mg/dl,M/F,5,21,0,YEARS,100,YEARS,
BIOCHEMISTRY,C - PEPTIDE,C-PEPTIDE,ng/mL,M/F,1.1,5,0,YEARS,100,YEARS,
BIOCHEMISTRY,CARDIAC ENZYME PROFILE,CK,U/L,M,55,170,0,YEARS,100,YEARS,
BIOCHEMISTRY,CARDIAC ENZYME PROFILE,CK,U/L,F,30,135,0,YEARS,100,YEARS,
BIOCHEMISTRY,CARDIAC ENZYME PROFILE,CK-MB,ng/mL,M/F,0,6,0,YEARS,100,YEARS,
BIOCHEMISTRY,CARDIAC ENZYME PROFILE,TROPONIN I,ng/mL,M/F,0,0.04,0,YEARS,100,YEARS,
BIOCHEMISTRY,CARDIAC ENZYME PROFILE,LDH,U/L,M/F,140,280,0,YEARS,100,YEARS,
BIOCHEMISTRY,CARDIAC ENZYME PROFILE,AST,U/L,M/F,10,40,0,YEARS,100,YEARS,
BIOCHEMISTRY,CARDIAC ENZYME PROFILE,MYOGLOBIN,ng/mL,M,25,72,0,YEARS,100,YEARS,
BIOCHEMISTRY,CARDIAC ENZYME PROFILE,MYOGLOBIN,ng/mL,F,21,57,0,YEARS,100,YEARS,
BIOCHEMISTRY,CEROLOPLASMIN,CEROLOPLASMIN,mg/dL,M/F,20,35,0,YEARS,100,YEARS,
BIOCHEMISTRY,CK-MB,CK-MB,ng/mL,M/F,0,5,0,YEARS,100,YEARS,
BIOCHEMISTRY,COLD AGGLUTINATION TEST,DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,
BIOCHEMISTRY,CPK (CK NAK),CPK,U/L,M,0,171,0,YEARS,100,YEARS,
BIOCHEMISTRY,CPK (CK NAK),CPK,U/L,F,0,145,0,YEARS,100,YEARS,
BIOCHEMISTRY,C-REACTIVE PROTEIN (CRP),C.R.P,mg/L,M/F,0,5,0,YEARS,100,YEARS,
BIOCHEMISTRY,D DIMER,D DIMER,ngFEU/ml,M/F,0,800,0,YEARS,100,YEARS,
BIOCHEMISTRY,DOUBLE MARKER,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
BIOCHEMISTRY,FASTING BLOOD SUGAR (FBS),FASTING BLOOD SUGAR,mg/dl,M/F,70,110,0,YEARS,100,YEARS,
BIOCHEMISTRY,FASTING SERUM INSULIN,FASTING SERUM INSULIN,µIU/mL,M/F,2,25,0,YEARS,100,YEARS,
BIOCHEMISTRY,FERRITIN,FERRITIN,ng/ml,M,30,220,0,YEARS,100,YEARS,
BIOCHEMISTRY,FERRITIN,FERRITIN,ng/ml,F,20,110,0,YEARS,100,YEARS,
BIOCHEMISTRY,FNAC BREAST,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,
BIOCHEMISTRY,FOLIC ACID,FOLIC ACID,ng/ml,M/F,4.8,37.3,0,YEARS,100,YEARS,
BIOCHEMISTRY,GCT,BLOOD GLUCOSE LEVEL,mg/dL,M/F,,140,0,YEARS,100,YEARS,
BIOCHEMISTRY,GGT,GGT,U/L,M,11,43,0,YEARS,100,YEARS,
BIOCHEMISTRY,GGT,GGT,U/L,F,9,37,0,YEARS,100,YEARS,
BIOCHEMISTRY,GRBS,GRBS,mg/dl,M/F,60,140,0,YEARS,100,YEARS,
BIOCHEMISTRY,GROWTH HORMONE (HGH),GROWTH HORMONE,ng/mL,M,0,5,0,YEARS,100,YEARS,
BIOCHEMISTRY,GROWTH HORMONE (HGH),GROWTH HORMONE,ng/mL,F,0,10,0,YEARS,100,YEARS,
BIOCHEMISTRY,Hb A1 c (GLYCOSYLATED Hb),HbA1c (GLYCOSYLATED Hb),%,M/F,4,6,0,YEARS,100,YEARS,
BIOCHEMISTRY,Hb A1 c (GLYCOSYLATED Hb),MEAN BLOOD GLUCOSE,mg/dL,M/F,68,126,0,YEARS,100,YEARS,
BIOCHEMISTRY,HDL CHOLESTEROL - DIRECT,HDL CHOLESTEROL - DIRECT,mg/dl,M/F,35,55,0,YEARS,100,YEARS,
BIOCHEMISTRY,IONIZED CALCIUM,IONIZED CALCIUM,mmol/L,M/F,1.15,1.33,0,YEARS,100,YEARS,
BIOCHEMISTRY,IRON,IRON,mcg/dL,M,50,150,0,YEARS,100,YEARS,
BIOCHEMISTRY,IRON,IRON,mcg/dL,F,35,145,0,YEARS,100,YEARS,
BIOCHEMISTRY,IRON &TIBC,IRON,mcg/dL,M,50,150,0,YEARS,100,YEARS,
BIOCHEMISTRY,IRON &TIBC,IRON,mcg/dL,F,35,145,0,YEARS,100,YEARS,
BIOCHEMISTRY,IRON &TIBC,TOTAL IRON BINDING CAPACITY,mcg/dL,M/F,250,400,0,YEARS,100,YEARS,
BIOCHEMISTRY,IRON &TIBC,PERCENT SATURATION,%,M/F,14,50,0,YEARS,100,YEARS,
BIOCHEMISTRY,LACTATE LEVEL,LACTATE LEVEL,mmol/L,M/F,0.5,1.6,0,YEARS,100,YEARS,
BIOCHEMISTRY,LDH,LDH,U/L,M/F,400,1100,1,DAYS,1,MONTH,
BIOCHEMISTRY,LDH,LDH,U/L,M/F,250,600,1,MONTH,1,YEARS,
BIOCHEMISTRY,LDH,LDH,U/L,M/F,160,240,1,YEARS,10,YEARS,
BIOCHEMISTRY,LDH,LDH,U/L,M/F,140,300,11,YEARS,17,YEARS,
BIOCHEMISTRY,LDH,LDH,U/L,M/F,135,225,18,YEARS,100,YEARS,
BIOCHEMISTRY,LDL CHOLESTEROL - DIRECT,LDL CHOLESTEROL - DIRECT,mg/dl,M/F,,150,0,YEARS,100,YEARS,
BIOCHEMISTRY,LIPASE,LIPASE,U/L,M/F,0,60,0,YEARS,100,YEARS,
BIOCHEMISTRY,LIPID PROFILE TEST (LPT),TOTAL CHOLESTEROL,mg/dl,M,,200,0,YEARS,100,YEARS,
BIOCHEMISTRY,LIPID PROFILE TEST (LPT),TOTAL CHOLESTEROL,mg/dl,F,,201,0,YEARS,100,YEARS,
BIOCHEMISTRY,LIPID PROFILE TEST (LPT),TRIGLYCERIDES,mg/dl,M/F,60,150,0,YEARS,100,YEARS,
BIOCHEMISTRY,LIPID PROFILE TEST (LPT),HDL CHOLESTEROL - DIRECT,mg/dl,M,35,50,0,YEARS,100,YEARS,
BIOCHEMISTRY,LIPID PROFILE TEST (LPT),HDL CHOLESTEROL - DIRECT,mg/dl,F,45,60,0,YEARS,100,YEARS,
BIOCHEMISTRY,LIPID PROFILE TEST (LPT),LDL CHOLESTEROL - DIRECT,mg/dl,M/F,,150,0,YEARS,100,YEARS,
BIOCHEMISTRY,LIPID PROFILE TEST (LPT),VLDL CHOLESTEROL,mg/dl,M/F,0,60,0,YEARS,100,YEARS,
BIOCHEMISTRY,LITHIUM,LITHIUM,mmol/L,M/F,0.6,1.2,0,YEARS,100,YEARS,
BIOCHEMISTRY,LIVER FUNCTION TEST (LFT),ALKALINE PHOSPHATASE,U/L,M,0,390,13,YEARS,17,YEARS,
BIOCHEMISTRY,LIVER FUNCTION TEST (LFT),ALKALINE PHOSPHATASE,U/L,F,187,0,13,YEARS,17,YEARS,
BIOCHEMISTRY,LIVER FUNCTION TEST (LFT),ALKALINE PHOSPHATASE,U/L,M,0,449,1,MONTHS,6,MONTHSS,
BIOCHEMISTRY,LIVER FUNCTION TEST (LFT),ALKALINE PHOSPHATASE,U/L,M,0,462,6,MONTHSS,1,YEARS,
BIOCHEMISTRY,LIVER FUNCTION TEST (LFT),ALKALINE PHOSPHATASE,U/L,F,0,449,1,MONTHS,6,MONTHS,
BIOCHEMISTRY,LIVER FUNCTION TEST (LFT),ALKALINE PHOSPHATASE,U/L,F,0,462,6,MONTHS,1,YEARS,
BIOCHEMISTRY,LIVER FUNCTION TEST (LFT),TOTAL PROTEIN,g/dl,M/F,6,8.5,0,YEARS,100,YEARS,
BIOCHEMISTRY,LIVER FUNCTION TEST (LFT),ALBUMIN,g/dl,M/F,3.5,5.2,0,YEARS,100,YEARS,
BIOCHEMISTRY,LIVER FUNCTION TEST (LFT),GLOBULIN,g/dl,M/F,2.3,3.5,0,YEARS,100,YEARS,
BIOCHEMISTRY,LIVER FUNCTION TEST (LFT),A/G RATIO,N/A,M/F,1,1.5,0,YEARS,100,YEARS,
BIOCHEMISTRY,LIVER FUNCTION TEST (LFT),TOTAL BILIRUBIN,mg/dl,M/F,0,1,0,YEARS,100,YEARS,
BIOCHEMISTRY,LIVER FUNCTION TEST (LFT),DIRECT BILIRUBIN,mg/dl,M/F,0,0.25,0,YEARS,100,YEARS,
BIOCHEMISTRY,LIVER FUNCTION TEST (LFT),INDIRECT BILIRUBIN,mg/dl,M/F,0,0.75,0,YEARS,100,YEARS,
BIOCHEMISTRY,MAGNESIUM,MAGNESIUM,mg/dl,M/F,1.5,2.5,0,YEARS,100,YEARS,
BIOCHEMISTRY,MRI-CARTIGRAM,,N/A,M/F,,,0,YEARS,100,YEARS,
BIOCHEMISTRY,MRI-CARTILAGE MAPPING,,N/A,M/F,,,0,YEARS,100,YEARS,
BIOCHEMISTRY,OGTT 1OOGms 3Hrs,FASTING BLOOD SUGAR,mg/dl,M/F,60,110,0,YEARS,100,YEARS,
BIOCHEMISTRY,OGTT 1OOGms 3Hrs,BLOOD SUGAR (1 hour),mg/dl,M/F,70,180,0,YEARS,100,YEARS,
BIOCHEMISTRY,OGTT 1OOGms 3Hrs,BLOOD SUGAR (2 hour),mg/dl,M/F,70,155,0,YEARS,100,YEARS,
BIOCHEMISTRY,OGTT 1OOGms 3Hrs,BLOOD SUGAR (3 hour),mg/dl,M/F,70,140,0,YEARS,100,YEARS,
BIOCHEMISTRY,PLASMA OSMOLARITY,PLASMA OSMOLARITY,mOsm/kg,M/F,275,295,0,YEARS,100,YEARS,
